track_name,artists,year,region,country_code
Living Inside Myself,Gino Vannelli,1981,US,US
Woman in Love,Barbra Streisand,1981,US,US
The Boy from New York City,The Manhattan Transfer,1981,US,US
Urgent,Foreigner,1981,US,US
Passion,Rod Stewart,1981,US,US
Lady (You Bring Me Up),Commodores,1981,US,US
Crying,Don McLean,1981,US,US
Hearts,Marty Balin,1981,US,US
It's My Turn,Diana Ross,1981,US,US
You Make My Dreams,Daryl Hall & John Oates,1981,US,US
I Don't Need You,Kenny Rogers,1981,US,US
How 'Bout Us,Champaign,1981,US,US
Hit Me with Your Best Shot,Pat Benatar,1981,US,US
The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,1981,US,US
Time,The Alan Parsons Project,1981,US,US
Hungry Heart,Bruce Springsteen,1981,US,US
Sweetheart,Franke and the Knockouts,1981,US,US
Somebody's Knockin',Terri Gibbs,1981,US,US
More Than I Can Say,Leo Sayer,1981,US,US
Together,Tierra,1981,US,US
Too Much Time on My Hands,Styx,1981,US,US
What Are We Doin' in Love,Dottie West&Kenny Rogers,1981,US,US
Who's Crying Now,Journey,1981,US,US
"De Do Do Do, De Da Da Da",The Police,1981,US,US
This Little Girl,Gary U.S. Bonds,1981,US,US
Stop Draggin' My Heart Around,Stevie Nicks&Tom Petty,1981,US,US
Giving It Up for Your Love,Delbert McClinton,1981,US,US
A Little in Love,Cliff Richard,1981,US,US
America,Neil Diamond,1981,US,US
Ain't Even Done with the Night,John Cougar,1981,US,US
Arthur's Theme (Best That You Can Do),Christopher Cross,1981,US,US
Another One Bites the Dust,Queen,1981,US,US
Games People Play,The Alan Parsons Project,1981,US,US
I Can't Stand It,Eric Clapton,1981,US,US
While You See a Chance,Steve Winwood,1981,US,US
Master Blaster (Jammin'),Stevie Wonder,1981,US,US
Hello Again,Neil Diamond,1981,US,US
Don't Stand So Close to Me,The Police,1981,US,US
Hey Nineteen,Steely Dan,1981,US,US
I Ain't Gonna Stand for It,Stevie Wonder,1981,US,US
All Those Years Ago,George Harrison,1981,US,US
Step By Step,Eddie Rabbitt,1981,US,US
The Stroke,Billy Squier,1981,US,US
Feels So Right,Alabama,1981,US,US
Sweet Baby,Stanley Clarke&George Duke,1981,US,US
Same Old Lang Syne,Dan Fogelberg,1981,US,US
Cool Love,Pablo Cruise,1981,US,US
Hold On Tight,Electric Light Orchestra,1981,US,US
It's Now or Never,John Schneider,1981,US,US
Treat Me Right,Pat Benatar,1981,US,US
Winning,Santana,1981,US,US
What Kind of Fool,Barbra Streisand&Barry Gibb,1981,US,US
Watching the Wheels,John Lennon,1981,US,US
Tell It Like It Is,Heart,1981,US,US
Smoky Mountain Rain,Ronnie Milsap,1981,US,US
I Made It Through the Rain,Barry Manilow,1981,US,US
You've Lost That Lovin' Feelin',Daryl Hall & John Oates,1981,US,US
Suddenly,Olivia Newton-John&Cliff Richard,1981,US,US
For Your Eyes Only,Sheena Easton,1981,US,US
The Beach Boys Medley,The Beach Boys,1981,US,US
Whip It,Devo,1981,US,US
Modern Girl,Sheena Easton,1981,US,US
Really Wanna Know You,Gary Wright,1981,US,US
Seven Year Ache,Rosanne Cash,1981,US,US
I'm Coming Out,Diana Ross,1981,US,US
Miss Sun,Boz Scaggs,1981,US,US
Time Is Time,Andy Gibb,1981,US,US
No.,Title,1982,US,US
Physical,Olivia Newton-John,1982,US,US
Eye of the Tiger,Survivor,1982,US,US
I Love Rock 'n Roll,Joan Jett & The Blackhearts,1982,US,US
Ebony and Ivory,Paul McCartneyandStevie Wonder,1982,US,US
Centerfold,The J. Geils Band,1982,US,US
Don't You Want Me,The Human League,1982,US,US
Jack & Diane,John Cougar,1982,US,US
Hurts So Good,John Cougar,1982,US,US
Abracadabra,Steve Miller Band,1982,US,US
Hard to Say I'm Sorry,Chicago,1982,US,US
Tainted Love,Soft Cell,1982,US,US
Chariots of Fire,Vangelis,1982,US,US
Harden My Heart,Quarterflash,1982,US,US
Rosanna,Toto,1982,US,US
I Can't Go for That (No Can Do),Daryl Hall & John Oates,1982,US,US
867-5309/Jenny,Tommy Tutone,1982,US,US
Key Largo,Bertie Higgins,1982,US,US
You Should Hear How She Talks About You,Melissa Manchester,1982,US,US
Waiting for a Girl Like You,Foreigner,1982,US,US
Don't Talk to Strangers,Rick Springfield,1982,US,US
The Sweetest Thing (I've Ever Known),Juice Newton,1982,US,US
Always on My Mind,Willie Nelson,1982,US,US
Shake It Up,The Cars,1982,US,US
Let It Whip,Dazz Band,1982,US,US
We Got the Beat,The Go-Go's,1982,US,US
The Other Woman,Ray Parker Jr.,1982,US,US
Turn Your Love Around,George Benson,1982,US,US
Sweet Dreams,Air Supply,1982,US,US
Only the Lonely,The Motels,1982,US,US
Who Can It Be Now?,Men at Work,1982,US,US
Hold Me,Fleetwood Mac,1982,US,US
Eye in the Sky,The Alan Parsons Project,1982,US,US
Let's Groove,"Earth, Wind & Fire",1982,US,US
Open Arms,Journey,1982,US,US
Leader of the Band,Dan Fogelberg,1982,US,US
Leather and Lace,Stevie NicksandDon Henley,1982,US,US
Even the Nights Are Better,Air Supply,1982,US,US
I've Never Been to Me,Charlene,1982,US,US
'65 Love Affair,Paul Davis,1982,US,US
Heat of the Moment,Asia,1982,US,US
Take It Easy on Me,Little River Band,1982,US,US
Pac-Man Fever,Buckner & Garcia,1982,US,US
That Girl,Stevie Wonder,1982,US,US
Private Eyes,Daryl Hall & John Oates,1982,US,US
Trouble,Lindsey Buckingham,1982,US,US
Making Love,Roberta Flack,1982,US,US
Love's Been a Little Bit Hard on Me,Juice Newton,1982,US,US
Young Turks,Rod Stewart,1982,US,US
Freeze-Frame,The J. Geils Band,1982,US,US
Keep the Fire Burnin',REO Speedwagon,1982,US,US
Do You Believe in Love,Huey Lewis and the News,1982,US,US
Cool Night,Paul Davis,1982,US,US
Caught Up In You,.38 Special,1982,US,US
Why Do Fools Fall In Love?,Diana Ross,1982,US,US
Love in the First Degree,Alabama,1982,US,US
Hooked On Classics,Royal Philharmonic Orchestra,1982,US,US
Wasted on the Way,"Crosby, Stills & Nash",1982,US,US
Think I'm in Love,Eddie Money,1982,US,US
Love Is in Control (Finger on the Trigger),Donna Summer,1982,US,US
